,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Context Length,Poem Length
0,"“Bear found stuck on power pole in southern Arizona city …Werner Neubauer, a company lineman, said they immediately disabled the power so the animal would not get electrocuted. Neubauer then went up in a bucket lift and used an 8-foot (2-meter) fiberglass stick to try to nudge the bear to go down. He even tried talking to it.” ","“Oh bear, permit me please to nudge:
(I would not wish to knock):
For you’ll receive, unless you budge,
A sharp electric shock!”

Though thus the lineman urged, and waved
A stick, of length two meters,
The bear, refusing to be saved,
Replied to all entreaters:

“O humans, cease to trouble me;
I would not be facetious,
But this is quite (a tendency
With all your species) specious.

“Aloft, alone, I’ve settled on
My stationary position
In honor of St. Simeon,
Who fired my life’s ambition;

“And though you may assume a guest
For me’s a social highlight,
Please understand that least is best
For any ursine stylite.

“So please remove yourself—I’ll say
No more, for I’m refined;
Just note, it’s best to go away
Without a bear behind.”


",,,,,,329,739
1,“FBI Director Wray knocks down conspiracy theory that January 6 rioters were ‘fake Trump protesters’“,"Christopher Wray
said “I saw no Antifa that day—
just trumped-up trolls
maligning the polls.”
 

",,,,,,101,97
2,“ . . . Eton College. This institution sitsat the heart of the Brexit mess and thedismal political failings that led to it.“,"Come, legislators, fall on Eton!
Bared buttocks now may pass unbeaten
But still you put a rich elite on
The path to power.
 
One day, damned relic by the river,
Old unrepentant privilege-giver,
We’ll hear the timbers crack and shiver,
Your final hour.
 
You’re loved by no-deal Brexit-brinkers,
Ex-mayors, mendacious pen-and-inkers,
Rees-Moggs, and rolling-in-it stinkers
With funds off-shore.
 
So, drop your fees, they’re quite offensive,
Sell off your fields (far too extensive),
Rename yourself Slough Comprehensive
Or face the law!
 

",,,,,,124,540
3,"“Whale with harness could be Russian weapon, say Norwegian experts“","Wouldst thou draw out Leviathan?
I’m sure, if thou wouldst try,
’Twould have some purpose higher than
To use him as a spy.
 
What proof of men’s bizarreness is
This domineering yen
To wrap a whale in harnesses
To peer at other men!
 
With so much more to threaten us—
The climate’s worse each day—
It seems a trifle cretinous
To spend our time this way;
 
But still we go safari-in’
Through snow and ice and hail,
And find a Mata Hari in
A sore Beluga whale.
 

",,,,,,67,462
4,"“. . . a choker, you know, a choker, they choke . . .“","Our president is fond of sports.
He’s often on the links:
He drives, he chips, he putts, he sorts
His thoughts; that’s where he thinks.
 
So when some citizens get shot
His brain tees off with, What?
Cops must’ve “choked.” Were in a spot.
“They miss a three-foot putt.”
 
It’s all the same to him: the green,
The ball, the club, the flag,
A riddled body, bloody scene.
A mulligan. A drag.
 
Next time you hear a shot, don’t blink.
Think golf. It’s just the plop
A choker landed in the drink.
No sweat. He’ll take a drop.
 

",,,,,,54,524
5,“[Alexandra Ocasio-Cortez] spent nearly $300 on her hairdo at a pricey salon she frequents in downtown Washington… Her high-dollar hairdo stands in stark contrast to that of former Attorney General Jeff Sessions … who is a regular customer at Senate Hair Care Services.“,"AOC, that pampered dullard,
At a place which charged top dollar
Had her tresses cut and colored,
Filling Fox’s Friends with choler.
 
“Fraud!” they clamored. “How improper!
What a slave to mere impressions,
When so near and cheap a chopper
Coifs the brow of grave Jeff Sessions!”
 

",,,,,,270,283
6,“‘Flintstone’ house sparks lawsuit from California town: ‘It’s an eyesore‘” ,"Eyesore, it’s an eyesore,
It’s the grossest house in human sight!
From the town of Bedrock,
It’s usurped the home of Frank Lloyd Wright.

Just look, it’s that prehistoric gang
Put there courtesy of Florence Fang!
Yikes, it’s Casa Fangstone:
It’s a yabba dabba duplex blight!


",,,,,,76,277
7,"“‘I look forward to thinking about all forms of poetry,’ [Alice Oswald, the new Oxford Professor of Poetry] said, ‘but particularly the fugitive airborne forms.'” ","What are these Fugitive Airborne Forms
Abseiling along our coasts?
Elusive portents of versing storms,
Or lyrically truant ghosts?

Earthbound Forms might splutter and frown:
The epic, the cold pastiche;
Our FAFs simply won’t come down;
They’re light, and they’re off the leash.

But Alice now rules the Versiverse
(That’s Oxford, turned right side out);
Those Forms are in for a grounding—worse,
They’re going to be thought about.


",,,,,,163,434
8,“‘My whole life has been a lie’: Sweden admits meatballs are Turkish”,"A shout-out to our brethren to the south—it’s time we brought ’em in;
What we’ve been calling “Swedish meatballs” actually are Ottoman.
Three hundred years ago, they reached the Baltic from the Bosporus
(But no, we don’t intend to give them back—don’t be preposberous!)
 
",,,,,,69,272
9,“100-million-year old crab trapped in amber rewrites ancient crustacean history“,"With joints a bit arthritic, Crab
Took stylus in a tiny claw
And in a clean, well-lighted lab
Scratched out in amber: “Fries, no slaw.”
 
",,,,,,80,138
