,Unnamed: 0,date,truth_o_meter,statement,tags,url,shortExplanation_prep,summary
0,3,"January 18, 2022",true, The number of COVID-19 deaths recorded so far in 2021 has surpassed the total for 2020. ,"['Texas', 'Coronavirus', 'Ask PolitiFact', 'Roger Williams']",https://www.politifact.com/factchecks/2022/jan/18/roger-williams/williams-accurate-there-were-more-covid-19-deaths-/,"Williams office wrote in a Dec. 2 email newsletter, According to the latest data from John (sic) Hopkins University, the number of COVID-19 deaths recorded so far in 2021 has surpassed the total for 2020. CDC data shows there were over 60,000 more deaths in 2021 compared to 2020. Johns Hopkins data, used Williams and many national news outlets, also reported more deaths in 2021.","U.S. Rep. Roger Williams (R-Texas) cited Johns Hopkins data for his claim.
Both Johns Hopkins Coronavirus Resource Center data and CDC mortality death certificate data indicate there were more deaths in 2021 than in 2020.
"
1,4,"January 12, 2022",true," You are 17 times more likely to go to the hospital if you’re not vaccinated, 20 times more likely to die. ","['Facebook Fact-checks', 'Coronavirus', 'Jen Psaki']",https://www.politifact.com/factchecks/2022/jan/12/jen-psaki/data-suggests-unvaccinated-are-20-times-more-likel/,"Psaki said You are 17 times more likely to go to the hospital if you’re not vaccinated, 20 times more likely to die, compared to people who are fully vaccinated against COVID-19. While those studies are based on data collected prior to omicron variant spreading in the U.S., early data from New York and Seattle in December and January continue to suggest a significant gap between the experiences of the unvaccinated and the vaccinated who become infected.","October data from the Centers for Disease Control and Prevention suggests unvaccinated people are 20 times more likely to die of COVID-19 than those who are vaccinated and boosted.
Researchers in Texas reached the same conclusion looking at September data.
CDC data from November also indicated that unvaccinated people were about 17 times more likely to be hospitalized due to COVID-19 than those who are vaccinated.
Data from the omicron variant-fueled surge in December and January is preliminary and incomplete but early reports from New York City and Seattle suggest a continued and significant gap in the experiences between vaccinated and unvaccinated who become infected.
"
2,10,"October 28, 2021",true, The Biden administration published a study concluding 4 (of) 5 new cars on the road 2050 will still require liquid fuels. ,"['Climate Change', 'Energy', 'Transportation', 'Iowa', 'Randy Feenstra']",https://www.politifact.com/factchecks/2021/oct/28/randy-feenstra/biden-administration-predicted-liquid-fuel-cars-ou/,"Feenstra said the Biden Administration predicts that four out of five new cars on the road will require liquid fuels in 2050 and he cites the source. That source, a report from the Biden Administration, states that 79% of vehicles on the road will require liquid fuels 2050.","U.S. Rep. Randy Feenstra, R-Iowa, tweeted that four out of five new cars in 2050 will still require liquid fuels, and that the projection contradicts an Oct. 5 statement from President Joe Biden touting electric as an energy source for automobiles.
The U.S. Energy Information Administration’s 2021 Annual Energy Outlook report states that a majority, 79%, of vehicles will have liquid fuel by 2050.
Ethanol consumption is important in Iowa because the state leads the nation in ethanol production.
"
3,11,"October 22, 2021",true, Southwest Airlines announce they will no longer terminate employees over the mandate. ,"['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Facebook posts']",https://www.politifact.com/factchecks/2021/oct/22/facebook-posts/southwest-ceo-said-employees-wont-be-fired-over-it/,"A Facebook post claims that Southwest Airlines will no longer fire its employees who choose to remain unvaccinated against COVID-19. The company announced in early October that employees must be vaccinated or seek an exemption from the vaccine to continue employment. However, the company’s CEO later said that no one will be fired over the vaccine mandate, and that the airline will encourage unvaccinated workers to seek an accommodation. Employees whose exemptions have not been processed or approved Dec. 8 will remain employed, and the company will adhere to COVID-19 safety protocols as it encourages its unvaccinated workers to get the COVID-19 vaccine, according to the company’s spokesperson and its CEO.","President Joe Biden’s vaccine mandate for federal workers applies to companies that have contracts with the United States government.
Southwest announced on Oct. 4 that it would follow the federal vaccine directive, saying that employees ""must be fully vaccinated against COVID-19, or be approved for a religious, medical or disability accommodation, by Dec. 8, 2021, to continue employment with the airline.""
On Oct. 12, Southwest’s CEO said in a television interview that the airline won’t fire employees over the mandate, and that it will help workers with getting an “accommodation,” such as a religious or medical exemption.
Employees have until Nov. 24 to submit proof of vaccination or request an exemption. But the CEO and a spokesperson said if an exemption is not approved by Dec. 8, employees will still be allowed to work for the airline and must adhere to safety protocols for the unvaccinated.
"
4,13,"October 5, 2021",true," If you look at the hospitalizations at Ru Memorial in West Virginia, and around the country, 90% to 95% of those hospitalized are unvaccinated. ","['West Virginia', 'Corrections and Updates', 'Public Health', 'Coronavirus', 'Kathryn Moffett Bradford']",https://www.politifact.com/factchecks/2021/oct/05/kathryn-moffett-bradford/are-90-95-those-hospitalized-covid-19-unvaccinated/,"Bradford said, If you look at the hospitalizations at Ru Memorial in West Virginia, and around the country, 90% to 95% of those hospitalized are unvaccinated. Ru Memorial Hospital confirmed that at the time of her remark, about 90% to 95% of those hospitalized for COVID-19 were unvaccinated. As for the national picture, statistics from the CDC published both before and after her comment broadly support those percentages. CORRECTION, Oct. 6, 2021: This version corrects the spelling of Angela Knopf s name."," Ruby Memorial Hospital confirmed that at the time of the remark, about 90% to 95% of those hospitalized for COVID-19 were unvaccinated. 
 Nationally, statistics from the CDC published both before and after her comment broadly support those percentages.
"
5,19,"August 20, 2021",true, A photo shows two COVID-19 patients lying on the floor awaiting treatment in Florida. ,"['Florida', 'Coronavirus', 'Viral image']",https://www.politifact.com/factchecks/2021/aug/20/viral-image/photo-real-it-shows-sick-covid-19-patients-floor-f/,A photo shows two COVID-19 patients lying on the floor seeking treatment in Florida. City and state officials confirmed that the photo was taken at a state-supported site in Jacksonville where Floridians can get a free Regeneron treatment. The photo was taken another patient as he waited in line for his appointment during a week that saw a rapid increase in patients showing up to receive treatment. More chairs and wheelchairs and signs have since been added at the site. This image is real.,"A photo on Reddit shows two sick people lying on the ground awaiting treatment. Louie Lopez told PolitiFact that he took the photo while awaiting treatment at a site in Jacksonville, Fla.
City officials said that in mid-August they experienced a significant increase in patients seeking treatment at the site. Now there are more chairs and wheelchairs for patients as they wait for treatment.
The state of Florida has a website where people can sign up for an appointment to receive a free vaccine or Regeneron treatment.
"
6,30,"February 16, 2022",mostly-true," Inflation has been caused the global economies shutting down all at once, reopening all at once. And … the U.S. economy is recovering at a far faster pace than any other country in the OECD. ","['Economy', 'PunditFact', 'Coronavirus', 'Patrick Gaspard']",https://www.politifact.com/factchecks/2022/feb/16/patrick-gaspard/us-economic-growth-exceeds-rivals-and-has-contribu/,"Gaspard said that inflation has been caused the global economies shutting down all at once, reopening all at once. And … the U.S. economy is recovering at a far faster pace than any other country in the OECD. The U.S. has experienced faster economic growth than most of its most direct global competitors, and experts agree that this has contributed to inflationary pressures. While many of these inflationary pressures are traceable to global factors related to the pandemic, some have flowed from the fiscal choices made the Biden administration."," The U.S. has experienced faster economic growth than most of its most direct global competitors, and experts agree that this has contributed to inflationary pressures. 
 While many of these inflationary pressures are traceable to global factors related to the pandemic, others have flowed from the fiscal choices made by the Biden administration. 
"
7,32,"February 11, 2022",mostly-true, A larger percentage of Illinoisans have been vaccinated than in any other Midwestern state. ,"['Illinois', 'Coronavirus', 'JB Pritzker']",https://www.politifact.com/factchecks/2022/feb/11/jb-pritzker/does-illinois-have-larger-percentage-vaccinations-/,"Pritzker said that a larger percentage of Illinoisans have been vaccinated than in any other Midwestern state. There are many ways to measure vaccination rates — single doses, people who have been fully vaccinated and those administered booster shots. While his spokeswoman later clarified he meant the percentage of Illinoisans who had received a single dose of a COVID-19 shot, Pritzker’s initial statement could be interpreted as Illinois being the Midwest leader in those who are fully vaccinated. It is not.","Gov. Pritzker said “a larger percentage of Illinoisans have been vaccinated,” compared to the rest of the Midwest. That's mostly true but when it comes to those who are fully vaccinated, Minnesota is the region's top performer.
"
8,33,"February 7, 2022",mostly-true, Governor Kate Brown wants to make Oregon’s mask mandate PERMANENT. ,"['Oregon', 'Coronavirus', 'Christine Drazan']",https://www.politifact.com/factchecks/2022/feb/07/christine-drazan/bringing-more-context-light-about-permanent-mandat/,"In a Facebook petition, Drazan said Oregon’s governor wants to make mask mandates permanent. The state’s public health agency, which falls under Brown’s administration, has issued a proposal to put a permanent mandate in place in order to extend the mandate without an expiration date, unlike the current temporary mandates. The agency says it will be able to repeal the mandate once it’s deemed safe to do so, but it has not provided a date certain for when that might happen. The statement is accurate but needs additional information. PolitiFact researcher Caryn Baird contributed to this report.","The state’s health department, Oregon Health Authority, has proposed a permanent mask mandate.
Though controversial, the move was intended to address a technical glitch: temporary mask mandates last only 180 days and the current one is expected to expire Feb. 8.
A spokesperson with the agency and the state’s epidemiologist said the agency intends to repeal the mandate when public health indicators show the measure is no longer necessary.
"
9,38,"January 20, 2022",mostly-true, Omicron is the fastest-spreading virus known to humankind. ,"['Facebook Fact-checks', 'Coronavirus', 'Facebook posts']",https://www.politifact.com/factchecks/2022/jan/20/facebook-posts/omicron-variant-fastest-spreading-virus-it-depends/,"A Facebook video said, Omicron is now the fastest-spreading virus known to humankind. When it comes to how quickly viruses spread across the world, omicron is the fastest, experts say. When it comes to how viruses are transmitted from person to person, measles is the most contagious. Each person who has measles can infect 12 to 18 other people, in a population not protected vaccines and other preventative measures, according to the CDC. But the omicron variant of SARS-CoV-2 is a close second. Estimates put it at 1.5 to 2 times more transmissible than the delta variant, which saw each sick person infecting between five and seven others. So each person who contracts the omicron variant can infect between 7 and 14 people in an unvaccinated, unprotected population."," When measuring the speed of global spread, the omicron variant of SARS-CoV-2 is the fastest in history, experts say.
 When measuring the speed of transmission between individuals, measles is the most contagious virus, according to the Centers for Disease Control and Prevention. Each person who contracts it can infect 12 to 18 other people, in a population not protected by vaccines and other preventative measures. 
 But omicron is not far behind on that measure, either, coming in at a close second. Each person who contracts the omicron variant of COVID-19 can infect 7 to 14 people in an unvaccinated, unprotected population. 

"
10,46,"November 30, 2021",mostly-true," Within two years, there were two 500-year (storm) events in Wisconsin. ","['Environment', 'Climate Change', 'Weather', 'Wisconsin', 'Tammy Baldwin']",https://www.politifact.com/factchecks/2021/nov/30/tammy-baldwin/wisconsin-has-seen-more-two-500-year-storm-events-/,"Baldwin claimed that since she took office, two 500-year storm events occurred in northern Wisconsin. Data from the National Weather Service shows that 500-year storms did indeed strike the northernmost counties in Wisconsin in 2016 and 2018, overwhelming creeks and rivers. But storms in Cashton and Madison in 2018 lso rose to the same level, meaning that there have been more than two such storms within two years in the state. So Baldwin actually undershot the number of high-impact storms within the state between 2016 and 2018.","Wisconsin’s northern most counties were pummeled by storms that rose to the level of 500-year events in 2016 and 2018
But those storms weren’t the only events to rise to that level within the same period of time.
"
