;Unnamed: 0;date;truth_o_meter;statement;tags;url;summary
0;35;March 16, 2022;mostly-true; Make no mistake: The current spike in gas prices is largely the fault of Vladimir Putin. ;['Gas Prices', 'Foreign Policy', 'Ukraine', 'Russia', 'Joe Biden'];https://www.politifact.com/factchecks/2022/mar/16/joe-biden/joe-biden-blame-putin-high-gasoline-prices/;" The most recent spike in gas prices has stemmed largely from Putin’s invasion of Ukraine. However, gas prices were rising long before the Russian troop buildup around Ukraine became front-page news, primarily from growing demand due to the economic recovery from the pandemic.
"
1;36;March 10, 2022;mostly-true; U.S. imports 1% of its oil from Russia while Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years. ;['Energy', 'Facebook Fact-checks', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/10/facebook-posts/yes-oil-companies-are-reporting-record-breaking-pr/;"U.S. gas prices, which were already on the rise following pandemic-related changes in supply and demand, hit a new price per gallon high March 8 that hasn’t been seen since July 2008.
The price increase was partly attributed to the invasion of Ukraine as Western countries imposed economic sanctions on Russia for its aggression.
Several major oil companies — Exxon, Chevron, BP and Shell — reported record-breaking profits before the invasion.
"
2;37;March 9, 2022;mostly-true; The oil industry has 9,000 permits to drill now. They could be drilling right now, yesterday, last week, last year. ;['National', 'Energy', 'Gas Prices', 'Foreign Policy', 'Russia', 'Joe Biden'];https://www.politifact.com/factchecks/2022/mar/09/joe-biden/fact-checking-bidens-claim-there-are-9000-unused-o/;"President Joe Biden announced on March 8 a ban of all imports of Russian oil and gas and energy in response to Russia’s attack on Ukraine.
At the end of 2021, there were about 9,000 approved permits to drill on federal and Indian lands. Those permits included those issued under Biden and those still active from Trump’s administration.
Before drilling, companies assess whether it makes economic sense to drill immediately or wait.
"
3;63;April 20, 2022;half-true; Joe Biden s spending has sent prices skyrocketing. ;['Ohio', 'Corrections and Updates', 'Economy', 'Food', 'Gas Prices', 'Stimulus', 'Coronavirus', 'Ukraine', 'Jane Timken'];https://www.politifact.com/factchecks/2022/apr/20/jane-timken/bidens-american-rescue-plan-fueled-inflation-so-di/;"Inflation in March was 8.5%, a 40-year high. The $1.9 trillion American Rescue Plan helped fuel about half or less of the increase, analysts say.
Other causes of inflation include COVID-19’s impact on labor markets and supply chains. Higher energy prices also would have triggered high inflation even without the American Rescue Plan.
Russia’s war in Ukraine has made a challenging situation worse.
"
4;74;March 28, 2022;half-true; The United Nations sent out an email instructing staff not to use the words invasion or war’ when referring to Ukraine. ;['National', 'Facebook Fact-checks', 'Ukraine', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/28/facebook-posts/claim-un-told-staff-not-use-war-invasion-describe-/;"An email was sent on March 7 instructing some U.N. staff members not to use the words “war” or “invasion” when discussing the conflict between Russia and Ukraine.
The message came from a regional office without clearance and is not considered official U.N. policy, organization officials told PolitiFact. U.N. leaders including Secretary General António Guterres and Rosemary DiCarlo, the organization’s under-secretary-general for political and peacebuilding affairs, used the words in tweets before and after the email was sent.
"
5;78;March 16, 2022;half-true; Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine. ;['Foreign Policy', 'Sports', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/16/facebook-posts/ukrainian-boxing-star-auctioned-olympic-gold-medal/;"In 2012, Ukrainian former professional boxer Wladimir Klitschko auctioned off the Olympic gold medal he won in 1996, raising $1 million for Ukrainian children.
In March 2022, Facebook users circulated a post that recounted Klitschko’s gesture without specifying that it took place over a decade earlier. The post left the misleading impression that Klitschko sold the medal amid Russia’s ongoing invasion of Ukraine.
"
6;83;March 4, 2022;half-true; Joe Biden s sanctions on Russia are riddled with loopholes and don t even start for 30 days. They have carve outs for the energy and financial sectors. ;['Ohio', 'Energy', 'Foreign Policy', 'Trade', 'Ad Watch', 'Ukraine', 'Russia', 'Mike Gibbons'];https://www.politifact.com/factchecks/2022/mar/04/mike-gibbons/fact-checking-whether-bidens-russia-sanctions-over/;"Some of the U.S. sanctions against Russia took immediate effect, while some were phased in over 30 days.
The energy sector was largely spared, but banks were targeted directly.
"
7;86;February 28, 2022;half-true; The Keystone XL pipeline would have produced 830,000 barrels of oil per day, more than enough to offset what we import from Russia. ;['Energy', 'Trade', 'Ad Watch', 'Russia', 'Jake LaTurner'];https://www.politifact.com/factchecks/2022/feb/28/jake-laturner/keystone-wouldnt-simply-offset-oil-us-imports-russ/;"The Keystone pipeline, which President Joe Biden canceled, would have transported more oil per day than the U.S. imports from Russia, but it would not have been a simple offset.
The pipeline would have required years of construction and likely faced legal challenges, so it couldn’t have solved today’s demand needs.
There would have been no certainty that the pipeline could have produced a net increase of 800,000 barrels a day, rather than just transporting oil from Canada that is currently being transported some other way.
Producers would not have been obligated to sell that entire amount to the U.S.
"
8;87;February 25, 2022;half-true; Photos show Ukrainian Christians pray outdoors, in the snow, for their country in this phase of war danger. ;['Religion', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/feb/25/facebook-posts/photos-ukrainians-praying-phase-war-danger-are-act/;" The photos do show Ukrainians in prayer, but the images are actually years old. One picture was first shared online in 2015, the other in 2019.
"
9;98;March 29, 2022;barely-true; The Space Foundation has erased the honors previously bestowed on Yuri Gagarin, the first man to ever be in space. His name was stripped ‘in light of current events.’ ;['National', 'Space', 'Facebook Fact-checks', 'Ukraine', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/29/facebook-posts/space-foundation-didnt-revoke-honors-russian-cosmo/;"The Space Foundation removed Yuri Gagarin’s name from an upcoming fundraising event after it received derogatory and anti-Russia comments on its social media accounts.
The organization did not revoke any formal honors from the cosmonaut. Exhibits related to Gagarin are still on display at the foundation’s gallery in Colorado, and his accomplishments will still be celebrated at the annual event, the group said.
"
