Column1;Unnamed: 0;date;label;claim;tags;url;summary;poems;alt
15;133;18/04/2022;false; Ukraine was responsible for the Kramatorsk train station bombing. ;['National', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/apr/18/facebook-posts/no-evidence-ukraine-attacked-train-station-one-its/;"There’s no credible evidence that Ukraine was behind the April 8 attack at the Kramatorsk train station. A video used to bolster this claim is fake — it did not come from the BBC.
The claim has largely been spread by pro-Kremlin accounts following reports of civilian casualties and contradict earlier Russian posts that initially took credit for the bombing.
The Tochka-U missile used in the attack, and the serial number on it, isn’t proof that it came from the Ukrainian army. Several news reports, legitimate photos and videos show that Russia has used these missile systems recently.
";"Russian government decided
To screw with ukranian population,
But to war on the modern world
You need some degree of media manipulation.

A Kramatorsk train station was bombed
There's still no conclusion by who,
But pro-Kremlin internet accounts took the chance
To make their version of the story true.
Legitimate info says otherwise.";
30;562;25/03/2022;false; Ukrainian President Volodymyr Zelensky wore a Nazi cross symbol. ;['National', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/25/facebook-posts/zelenskys-shirt-bears-emblem-ukraine-armed-forces-/;"An Iron Cross visible on some of Zelensky’s military green T-shirts is not a Nazi symbol. It represents the official emblem of Ukraine’s armed forces and includes the country’s coat of arms in the center.
The Iron Cross is a commonly used, famous German military medal. It’s not a hate symbol on its own. It was turned into a Nazi symbol when the regime superimposed a swastika in the center.
";"Iron Cross is a symbol, 
a swastika a hateful one.
Zelensky wore an emblem,
in which you can rely upon.
the nazi symbol means death
but ukrainians just want to stop bloodshed";
0;1;11/03/2022;true;The US has made strides in reducing carbon emissions that other parts of the world have not.;['Climate Change', 'Environment'];https://www.politifact.com/factchecks/2022/mar/11/glenn-grothman/us-making-progress-cutting-greenhouse-gas-emission/;"When it comes to greenhouse gas emissions, the United States has made progress, decreasing emissions 8.2% from 2010 to 2019. 
Among other  top emitters, Brazil made the most progress for that time period, with an emission decrease of 31.3%, but is now on the rise. 
But China and India saw major increases, of 25.4% and 36.6% respectively.";"Co2, our little “Frienemy”,
you and the other greenhouse gases
need to leave, desperately!

The US set an example for once,
decreasing their emissions 8.2%
Brazil follows their example, but are struggling with the maintenance,
while China and India counter the occident.";
;0;04/03/2022;pants-fire;The war in Ukraine is “scripted and staged.”;['Ukraine', 'Russia', 'War', 'Foreign Policy'];https://www.politifact.com/factchecks/2022/mar/04/facebook-posts/evidence-russias-war-ukraine-plentiful-and-proves-/;News reports, testimonies of citizens-turned-fighters, and a swift global response all fly in the face of baseless claims that Russia’s war on Ukraine is “staged.”;"Open your eyes,
There’s no place like home.
Ukraine cries,
Russia lies,
Citizens wish to roam.
The inexperienced fighters blood spills like cherry wine,
“scripted and staged” scream hypocrisy,
We want Putin to resign
And give them a real democracy. ";
45;836;02/03/2022;false; Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv. ;['Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/02/facebook-posts/these-photos-molotov-cocktails-are-2014-protests-k/;"Four photos showing scenes of fire, billowing smoke and people engaged in a fight date back to 2014 anti-government protests in Ukraine.
";"Ukraine is indeed in a conflict
From which there is a tone of evidence.
They're getting attacked
Without much benevolence.

People have to ponder
where they get their information,
Because old 2014 photos of ukranian protests is nothing
But war prograpanda for the world population.";
26;293;01/03/2022;pants-fire; Ukrainian fighter-ace known as the Ghost of Kyiv s real name is Samuyil Hyde. ;['Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/01/facebook-posts/samuyil-hyde-internet-meme-not-ghost-kyiv-pilot/;"Sam Hyde is a comedian whose name has been used as an online meme since 2015, linked to tragic events throughout the world.
There is no evidence that the mysterious “Ghost of Kyiv” pilot in Ukraine actually exists.
If the pilot does exist, it’s not Samuyil Hyde.
";"Ghost of Kyiv is not Sam Hyde,
funny or not he’s not the fighter-ace.
Memes about tragic events are worldwide,
his true existence has no trace.";
47;841;28/02/2022;false; Actor Steven Seagal spotted among Russian special forces in Ukraine ;['Facebook Fact-checks', 'Ukraine', 'Russia', 'Joe Rogan'];https://www.politifact.com/factchecks/2022/feb/28/joe-rogan/action-star-steven-seagal-friend-putin-not-soldier/;"Podcaster Joe Rogan posted a fake CNN story that said action star Steven Seagal was spotted among Russian special forces in Ukraine. He later deleted the post, he said, because it was a “parody.”
CNN confirmed that the post purporting to be from its Twitter account was fake.
Seagal does have a friendship with Russian President Vladimir Putin, who granted him citizenship in 2016, and Seagal was once banned from Ukraine as a “national security threat.”
";"Turns out Seagal is indeed a russian citizen
Who was banned from Ukraine as a security threat,
But saying Seagal was among russian special forces
Is not a safe bet.

Joe Rogan and CNN
Got into a big mess,
But this time it was easy to confirm the truth
With some quick fact checks.";
;0;25/02/2022;false;Ethnic Russians face “genocide perpetrated by the Kyiv regime.”;['Ukraine', 'Russia', 'War', 'Foreign Policy'];https://www.politifact.com/factchecks/2022/feb/25/vladimir-putin/putin-repeats-long-running-claim-genocide-ukraine/;"Despite multiple claims of a Ukrainian genocide against ethnic Russians, there is no evidence to support it.
International bodies that include Russian representatives report that civilian deaths have plummeted since 2014.
Russia’s ambassador to the U.S. relied on misleading and outdated evidence to back the claim.";"No evidence, no case,
Claims are made to incriminate.
Russia’s Ambassador was mislead, 
Those reports weren’t going to succeed.
Since 2014 deaths decreased,
There’s no genocide,
Russia just lied.";
0;2;25/02/2022;false;Bill Gates hatches 'horribly stupid' plan to block out the sun;['Climate Change', 'Environment'];https://www.politifact.com/factchecks/2022/feb/25/facebook-posts/claim-bill-gates-scheming-block-sun-wrong;"Harvard researchers proposed a small-scale experiment that would spray aerosols into the atmosphere to reflect some sunlight back into space, a technology aimed at minimizing global warming. The experiment would measure the risks and effectiveness of the technology.
The experiment is funded in part through Harvard’s Solar Geoengineering Research Program, and Bill Gates is among the donors to that program.
The claim first surfaced in 2021 and has been previously debunked.";"yeah is hot,
glaciers are no longer in stock,
Bill Gates a solution tried to find,
but block only works on intagram, bear this in mind.

Now, the true story,
Bill, you don´t deserver the glory!
Havard was the one, the original author
You only gave them money and they took the offer.";"yeah is hot,
glaciers are no longer in stock,
Bill Gates a solution tried to find,
but block only works on intagram, bear this in mind.

Now, hear this story,
Bill didn't deserve the glory!
Havard was the one, the original author
He only gave them money and they took the offer.

However,
None of this is true.
Just another claim, out of the debunk queue."
;0;22/02/2022;false;"Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.
";['Ukraine', 'Russia', 'War', 'Foreign Policy'];https://www.politifact.com/factchecks/2022/feb/22/marjorie-taylor-greene/marjorie-taylor-greene-falsely-claims-ukraine-was-/;"Hillary Clinton’s 2016 presidential campaign did not report receiving any donations from the Ukrainian government or Ukrainian nationals. Those donations would have been illegal.
A spokesperson for Marjorie Taylor Greene cited a 2015 Wall Street Journal graphic that has been frequently misrepresented online. The chart shows donations to the Clinton Foundation between 1999 and 2014 by the nationality of the individuals who made them; it does not say anything about donations to the foundation by foreign governments. 
The Clinton Foundation said it has never received donations from Ukraine’s government.";"In 2016, Hillary ran for president,
No reports of donations from Ukraine were evident.
Those donations would’ve been illegal,
Truthful reports would’ve been a miracle.
Graphics misrepresented,
Can affect one’s reputation,
Clinton Foundation received individual donations
Never from Ukraine’s government,
That was an incident.";
