Column1;Unnamed: 0;date;label;claim;tags;url;summary;poems;alt
12;123;22/04/2022;false; America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government. ;['Facebook Fact-checks', 'Ukraine', 'Facebook posts'];https://www.politifact.com/factchecks/2022/apr/22/facebook-posts/us-not-orchestrating-takeover-ukraine/;" The U.S. has provided more financial, humanitarian and military support to Ukraine than any other nation since the outbreak of war, according to the Kiel Institute for the World Economy’s Ukraine Support Tracker. 
 The U.S. has not sent combat troops to Ukraine.
 There is no evidence to support the claim that a shadow government has infiltrated and overthrown the U.S. government.  
";;
13;126;20/04/2022;false; Vladimir Putin ended the Rothschild s control over Russia nationalizing the Russian centralized bank. ;['Foreign Policy', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/apr/20/facebook-posts/putin-did-not-nationalize-russian-central-bank-and/;" Russian President Vladimir Putin was not responsible for the nationalization of the Russian centralized bank, which took place in 1917.
 The Rothschild family banking business has had an office in Russia since the 1990s, but it has no oversight over the country’s currency or monetary policies, which are controlled by the Bank of Russia. 
 The Rothschild family long has been the target of conspiracy theories, and their wealth is believed to be responsible for inspiring the anti-Semitic trope that Jewish people “control” the world’s money.

";;
14;127;20/04/2022;false; After Russia invaded Ukraine, Google Maps opened all military and strategic facilities in Russia. ;['Technology', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/apr/20/facebook-posts/google-maps-did-not-change-blurring-settings-revea/;" Google told PolitiFact that it has not made any “blurring changes” to its satellite images of Russia.
 Some of the Russian facilities that social media users claim are now suddenly visible have been available in high resolution on Google platforms for years.
";;
3;63;20/04/2022;half-true; Joe Biden s spending has sent prices skyrocketing. ;['Ohio', 'Corrections and Updates', 'Economy', 'Food', 'Gas Prices', 'Stimulus', 'Coronavirus', 'Ukraine', 'Jane Timken'];https://www.politifact.com/factchecks/2022/apr/20/jane-timken/bidens-american-rescue-plan-fueled-inflation-so-di/;"Inflation in March was 8.5%, a 40-year high. The $1.9 trillion American Rescue Plan helped fuel about half or less of the increase, analysts say.
Other causes of inflation include COVID-19’s impact on labor markets and supply chains. Higher energy prices also would have triggered high inflation even without the American Rescue Plan.
Russia’s war in Ukraine has made a challenging situation worse.
";;
23;275;12/04/2022;false; Poland palace that Biden visited is fake. ;['Corrections and Updates', 'Foreign Policy', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/apr/12/facebook-posts/no-bidens-trip-poland-wasnt-staged/;"Multiple photographs, videos and news articles show that President Joe Biden visited the Presidential Palace in Warsaw on March 26, where he met with President Andrzej Duda.
While there appears to be something covering the exterior of the building at the entrance, wider shots show the entirety of the building and courtyard. Duda’s office confirmed renovation work on the palace has begun.
Biden was also photographed and recorded during a visit with U.S. troops on March 25 and giving a speech on March 26.
";;
24;287;07/04/2022;false; Photo of injured Ukrainian woman was from 2018 Russia gas explosion. ;['Facebook Fact-checks', 'Ukraine', 'Russia', 'Instagram posts'];https://www.politifact.com/factchecks/2022/apr/07/instagram-posts/iconic-photo-ukraine-war-not-russia-gas-explosion/;"Olena Kurilo, a teacher, was injured on Feb. 24, 2022, when a Russian missile strike hit her apartment complex in Chuhuiv, Ukraine.
Her photograph was taken by at least three journalists that day and she was interviewed on video.
Photos in news reports that day show the apartment complex is not the building damaged by a 2018 gas explosion in Russia.
";;
29;422;04/04/2022;false; A video taken from a car driving through Bucha, Ukraine, shows a corpse moving his arm, and then in the rear view mirror the ‘corpse’ sits down. ;['National', 'Military', 'Facebook Fact-checks', 'Ukraine', 'Russia', 'Russian Ministry of Defense'];https://www.politifact.com/factchecks/2022/apr/04/russian-ministry-defense/russia-pushes-false-crisis-actor-claims-about-vide/;"The Russian Ministry of Defense and other top Russian officials claimed that a video of a car driving through Ukraine showed two crisis actors playing the role of dead Ukrainians in a staged massacre. On Telegram and Twitter, they claimed that the video showed one person moving their arm, and another person seen in the car’s mirror sitting up.
The video does not show a person raising an arm as the car drives by; it shows a mark floating across the car’s windshield — perhaps a drop of water or a speck of dirt.
The video does not show someone sitting up after the car drives by; it shows a stationary corpse through the lens of the car’s passenger-side mirror, which has distorting effects.
";;
9;98;29/03/2022;barely-true; The Space Foundation has erased the honors previously bestowed on Yuri Gagarin, the first man to ever be in space. His name was stripped ‘in light of current events.’ ;['National', 'Space', 'Facebook Fact-checks', 'Ukraine', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/29/facebook-posts/space-foundation-didnt-revoke-honors-russian-cosmo/;"The Space Foundation removed Yuri Gagarin’s name from an upcoming fundraising event after it received derogatory and anti-Russia comments on its social media accounts.
The organization did not revoke any formal honors from the cosmonaut. Exhibits related to Gagarin are still on display at the foundation’s gallery in Colorado, and his accomplishments will still be celebrated at the annual event, the group said.
";;
4;74;28/03/2022;half-true; The United Nations sent out an email instructing staff not to use the words invasion or war’ when referring to Ukraine. ;['National', 'Facebook Fact-checks', 'Ukraine', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/28/facebook-posts/claim-un-told-staff-not-use-war-invasion-describe-/;"An email was sent on March 7 instructing some U.N. staff members not to use the words “war” or “invasion” when discussing the conflict between Russia and Ukraine.
The message came from a regional office without clearance and is not considered official U.N. policy, organization officials told PolitiFact. U.N. leaders including Secretary General António Guterres and Rosemary DiCarlo, the organization’s under-secretary-general for political and peacebuilding affairs, used the words in tweets before and after the email was sent.
";;
31;566;23/03/2022;false; Video shows Russian soldiers using weapons that have been in a cupboard since Soviet times. ;['Facebook Fact-checks', 'Ukraine', 'Russia', 'Facebook posts'];https://www.politifact.com/factchecks/2022/mar/23/facebook-posts/video-appears-show-kenyan-soldiers-not-russians/;"The soldiers seen in the video don’t appear to be wearing Russian uniforms, an expert on land warfare said.
The uniforms appear to match those worn by soldiers in the Kenya Defence Forces.
A longer version of the video says the soldiers are members of the Kenyan military.
";;
