step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,482,2,1.5375485710561085,0.0,0.4200913242009132
2,1012,4,2.067660323781401,0.0,0.4322250639386189
3,1478,6,1.479945415018922,0.0,0.37037037037037035
4,2216,8,2.047882486792243,0.0,0.4367588932806324
5,2858,10,1.1341668317432108,0.0,0.4297520661157025
6,3372,12,1.4488126125675735,0.0,0.462406015037594
7,3614,14,1.6141805996083858,0.0,0.4351145038167939
8,3952,16,1.4803233881922568,0.0,0.4976303317535545
9,4274,18,1.7765033115604094,0.0,0.453125
10,4612,20,1.5374305602634917,0.0,0.42
11,5126,22,1.423982314041964,0.0,0.4652777777777778
12,5768,24,1.3358201530388543,0.0,0.4483870967741935
13,6074,26,2.238430476827149,0.0,0.4375
14,6540,28,2.197612249406938,0.0,0.4498567335243553
15,6974,30,1.8298443613293363,0.0,0.41603053435114506
16,7440,32,1.4567201727438568,0.0,0.41509433962264153
17,7858,34,0.6098149493026582,0.0,0.47368421052631576
18,8036,36,1.3462639080004688,0.0,0.3950617283950617
19,8630,38,1.5219043565373118,0.0,0.48484848484848486
20,8840,40,1.5196277011397197,0.0,0.49586776859504134
21,9194,42,1.510918053011651,0.0,0.45544554455445546
22,9660,44,1.7790263460108604,0.0,0.40076335877862596
23,9934,46,1.5447371143869082,0.0,0.45390070921985815
24,10320,48,2.2147532280340556,0.0,0.41379310344827586
25,10738,50,1.0423095628166377,0.0,0.48125
26,10964,52,1.33781027663351,0.0,0.5094339622641509
27,11558,54,1.3329302709271518,0.0,0.5100671140939598
28,12088,56,1.7277669424657736,0.0,0.43103448275862066
29,12458,58,1.9197990386975257,0.0,0.444
30,12716,60,1.3121112368499963,0.0,0.48412698412698413
31,12974,62,1.8078425091435748,0.0,0.445859872611465
32,13376,64,1.3627837949607096,0.0,0.46153846153846156
33,13634,66,1.2586446061570702,0.0,0.5251798561151079
34,13908,68,1.3952118513438292,0.0,0.5637583892617449
35,14262,70,2.300141504851233,0.0,0.43478260869565216
36,14520,72,1.7236773129276344,0.0,0.46
37,15162,74,1.1465409371857085,0.0,0.5552238805970149
38,15596,76,1.7761145864159515,0.0,0.47586206896551725
39,16030,78,1.4126681945084698,0.0,0.5020080321285141
40,16752,80,1.1617776433622777,0.0,0.5304878048780488
41,17282,82,1.468401775852127,0.0,0.463768115942029
42,17716,84,1.833731106682635,0.0,0.4645390070921986
