step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,177,1,2.6941219505857292,0.0,0.4244604316546763
2,290,2,2.261393929924478,0.0,0.3974358974358974
3,499,3,1.7902295165771536,0.0,0.5035971223021583
4,620,4,1.937851734504414,0.0,0.37333333333333335
5,781,5,2.4176616855859394,0.0,0.4056603773584906
6,998,6,2.8850879948555765,0.0,0.3945945945945946
7,1159,7,2.3860539451521765,0.0,0.3787878787878788
8,1312,8,1.3710184310228366,0.0,0.4027777777777778
9,1481,9,1.4932098939093892,0.0,0.4772727272727273
10,1602,10,1.3953488550366018,0.0,0.34
11,1715,11,2.002395002946827,0.0,0.4057971014492754
12,1788,12,2.0063518219536287,0.0,0.38636363636363635
13,2061,13,2.516742034298004,0.0,0.4449152542372881
14,2214,14,1.21674240027225,0.0,0.40350877192982454
15,2287,15,1.1040123164319366,0.0,0.62
16,2480,16,1.540320676711705,0.0,0.5039370078740157
17,2553,17,1.3817649567732586,0.0,0.5
18,2658,18,1.3663220599661312,0.0,0.425
19,2899,19,2.034688939625795,0.0,0.5053763440860215
20,3076,20,1.956631967952814,0.0,0.40336134453781514
21,3197,21,1.2279555572685181,0.0,0.5142857142857142
22,3310,22,1.9600907703512553,0.0,0.5777777777777777
23,3431,23,1.5981797674999252,0.0,0.48333333333333334
24,3512,24,1.3837204227413022,0.0,0.47368421052631576
25,3745,25,2.0496249002350555,0.0,0.5170731707317073
26,3890,26,2.393385639124697,0.0,0.4322033898305085
27,4115,27,2.1335228404811564,0.0,0.4810126582278481
28,4204,28,1.8206402727016329,0.0,0.45098039215686275
29,4381,29,2.382379945385649,0.0,0.5067567567567568
30,4502,30,1.8100880182768284,0.0,0.5138888888888888
31,4647,31,2.1021245541032596,0.0,0.4953271028037383
32,4920,32,1.1491731210097185,0.0,0.6358695652173914
33,5033,33,2.5116453662955402,0.0,0.375
34,5122,34,1.5691997703479401,0.0,0.5370370370370371
35,5259,35,1.6772261485358553,0.0,0.47297297297297297
36,5468,36,2.25317607050392,0.0,0.5804597701149425
37,5565,37,1.641551057066995,0.0,0.49056603773584906
38,5750,38,2.5683858301937668,0.0,0.44025157232704404
39,5919,39,2.761161845183877,0.0,0.3958333333333333
40,6032,40,1.7420720554599776,0.0,0.48717948717948717
41,6265,41,2.1981264169394374,0.0,0.5148514851485149
