step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,241,1,1.1822523024505658,0.0,0.3717948717948718
2,442,2,1.0887585072109942,0.0,0.3968253968253968
3,691,3,1.899974171224714,0.0,0.3951612903225806
4,860,4,1.4927050238080413,0.0,0.36363636363636365
5,1021,5,1.275666989401424,0.0,0.38461538461538464
6,1342,6,1.2543192090189603,0.0,0.44696969696969696
7,1527,7,1.4852139722868822,0.0,0.32098765432098764
8,1784,8,0.7543668015736217,0.0,0.3333333333333333
9,1961,9,1.1779837304676033,0.0,0.2982456140350877
10,2106,10,1.9338647106637645,0.0,0.27941176470588236
11,2347,11,1.1181769451257193,0.0,0.4125
12,2564,12,1.1557466414212076,0.0,0.40540540540540543
13,2725,13,1.4626286597666767,0.0,0.44594594594594594
14,2894,14,0.9734626918052318,0.0,0.42
15,3087,15,0.7710314808578422,0.0,0.37735849056603776
16,3248,16,1.1617473030246912,0.0,0.48333333333333334
17,3425,17,0.9165573821530085,0.0,0.4492753623188406
18,3610,18,1.2358968417825171,0.0,0.45454545454545453
19,3907,19,1.0703718589411693,0.0,0.47107438016528924
20,4212,20,0.6230403635740492,0.0,0.3611111111111111
21,4453,21,1.1470292637954793,0.0,0.47368421052631576
22,4702,22,0.7636830538126835,0.0,0.47058823529411764
23,4911,23,1.1822898140399551,0.0,0.4777777777777778
24,5064,24,1.3611532298453448,0.0,0.43548387096774194
25,5281,25,1.0151785730918184,0.0,0.3484848484848485
26,5482,26,0.6658736193257034,0.0,0.4583333333333333
27,5699,27,0.8110297164671646,0.0,0.40625
28,5860,28,1.2627276090686792,0.0,0.4657534246575342
29,6053,29,1.5987478255205982,0.0,0.36666666666666664
30,6254,30,1.1526361484978,0.0,0.4880952380952381
31,6423,31,0.858284335180208,0.0,0.3829787234042553
32,6560,32,1.1662318146223483,0.0,0.4
33,6729,33,1.3797685412298113,0.0,0.4883720930232558
34,6930,34,1.174273757678501,0.0,0.5060240963855421
35,7155,35,0.7621699353682301,0.0,0.5064935064935064
36,7380,36,1.0654451837394818,0.0,0.38333333333333336
37,7541,37,0.8936917283399635,0.0,0.4827586206896552
38,7734,38,1.0936870223333728,0.0,0.47297297297297297
39,7903,39,1.3039344682865441,0.0,0.5060240963855421
40,8120,40,0.842153562314127,0.0,0.4032258064516129
41,8281,41,1.2552087976851547,0.0,0.3770491803278688
42,8514,42,0.7589872165964384,0.0,0.5897435897435898
43,8715,43,0.6969439090255589,0.0,0.425531914893617
44,8916,44,1.0040170005226623,0.0,0.4383561643835616
45,9117,45,1.2706537682938623,0.0,0.42696629213483145
46,9422,46,1.2348243370905114,0.0,0.4676258992805755
47,9719,47,0.6396894935195431,0.0,0.5555555555555556
48,9968,48,0.6082111063040229,0.0,0.5645161290322581
49,10145,49,1.5911090678389883,0.0,0.4479166666666667
50,10354,50,0.7633442038667028,0.0,0.5555555555555556
51,10531,51,0.9108378250052523,0.0,0.37735849056603776
